"","B_p.val","A_p.val","C_p.val","B_r.sq","A_r.sq","C_r.sq","B_avg","A_avg","C_avg","B_acro","A_acro","C_acro","B_amplitude","A_amplitude","C_amplitude","B_q.val","A_q.val","C_q.val","Group:Time_p.val","Group:Time_q.val"
"Variable_1",0.953279769090724,0.0309010625008664,0.777155036376936,0.00329434457458316,0.219916740604677,0.0178470645790712,0.593917483007815,0.580941757829723,0.586853501782754,12.787073592167,22.4749874814279,16.8629490504859,0.0147569344327833,0.13583197041125,0.0229477734018824,0.998231663347225,0.115363966669901,0.990965631763412,0.088923791169248,0.524182347945041
"Variable_2",0.92978248099348,0.00268495507981541,0.312234641184364,0.00500842350774986,0.344832049307181,0.0797803430754868,0.721668574504856,0.69319532822678,0.598165624434965,8.55061502902881,8.79842757165545,16.2450557750439,0.0372254362930346,0.283943670816811,0.101852049633323,0.998231663347225,0.0365106207469705,0.730647078361873,0.064120604284379,0.482447656061035
"Variable_3",2.78401947534297e-07,0.755935356806472,0.448866025554267,0.646891288315603,0.0197872826790997,0.0556104009599481,4.95146014653486,4.87692890319856,3.71257167859243,1.24383731675704,10.3162656396108,6.88316223407906,1.09917381312722,0.126642382549234,0.202928113834166,1.55905090619206e-05,0.775089208196275,0.793553756978093,1.14171571783083e-06,6.39360801985266e-05
"Variable_4",0.860378317094779,0.00986126882921297,0.481800495308128,0.010317651156606,0.281032125049033,0.0508220075487775,2.81187756081465,1.60056717882265,0.971658303229472,16.6305135151821,8.85546484327157,21.0614817186829,0.511111637126468,2.2500129528745,0.663281313409916,0.998231663347225,0.0752093519856717,0.793553756978093,0.137635956529593,0.52465272815753
"Variable_5",0.752800306589062,0.0123859301193973,0.920408105341228,0.0193926192228144,0.269230158224649,0.00590663785609973,-2.37091042418722,-3.52013189064613,-4.09405322475795,17.7586963444389,9.10386800430162,21.0005855384093,0.681249410035781,2.40625246430427,0.234304277997724,0.998231663347225,0.0752093519856717,0.993710502923207,0.149455286389161,0.52465272815753
"Variable_6",0.00358840454136628,0.10347511144231,0.380873932206192,0.321777005262462,0.149584561272385,0.0666257753969995,-1.09436566404204,-1.24222107215925,-1.20901992981728,3.00453768063672,3.39686077544529,18.1436169426837,0.215939056000574,0.117871235599062,0.0554031773973541,0.0669835514388372,0.227292680743116,0.76686140211024,0.0327482692101502,0.454819350897992
"Variable_7",0.467570130670354,0.0155628577169064,0.578055089417045,0.0510773543516848,0.257214316066408,0.0383925882075997,0.69139191744447,0.509996534958179,0.481840695641927,3.44864666771863,21.9868535452576,20.1247607411397,0.189507766700508,0.294973629110648,0.0654548940363768,0.994799583401223,0.0792290938315236,0.886879041297384,0.299149673451293,0.540399410105562
"Variable_8",0.0951646121229802,0.260761731850435,0.59826768288952,0.149743357985979,0.0915456001925318,0.0360290031380678,7.14335506542444,6.98581948587941,7.07605616898262,14.7901603119515,19.8300375183764,16.0953755419396,0.183797008104841,0.0872748309125351,0.0311162987998909,0.532921827888689,0.379289791782451,0.893413073115016,0.202605500484079,0.52465272815753
"Variable_9",0.000499246578527109,0.237318808409909,0.377539408227026,0.40803286935649,0.0976378538092348,0.0672118488623511,1.9148492086871,1.89976166575604,1.84406348639065,5.95408735934748,6.73404545552783,9.7288270845645,0.200488606062879,0.113162733097734,0.069837816866725,0.013978904198759,0.369162590859859,0.76686140211024,0.228525818434778,0.52465272815753
"Variable_10",0.973297846223825,0.0453719926865047,0.357899374580485,0.00186481991462159,0.198218049611619,0.0707645248216416,9.54576312577118,9.48185828304112,9.38225338411774,3.59604478898526,21.8268788332704,12.6085481191974,0.0319763232103963,0.298913357701796,0.117117347020765,0.998231663347225,0.14259098484754,0.756315659490837,0.155550031623643,0.52465272815753
"Variable_11",0.133942143351005,0.365968146745464,0.019906121386656,0.12946267585707,0.0692835763939329,0.244039599751974,-0.715505109482946,-0.719417586710942,-1.14093575906088,11.4550214778743,11.9553328432221,8.1466974089099,0.176336524762082,0.257588447902324,0.278982778979514,0.626373329471949,0.487957528993952,0.222948559530547,0.706732576657084,0.842064346655249
"Variable_12",0.371290253743777,0.120818933760952,0.875942835219444,0.0660468905330261,0.140119274529548,0.00941641716138329,9.65726335874802,9.61921215357762,9.68099803088369,9.95117490449076,21.5134035612254,17.6265826621309,0.0510717831926134,0.0706082352450109,0.0125214212733593,0.994799583401223,0.241637867521903,0.990965631763412,0.173055163957263,0.52465272815753
"Variable_13",0.657811570515225,0.397160900716104,0.113836213102343,0.0284721013540835,0.0638299370106896,0.143767989572288,1.02385178906837,1.26167093635789,1.14312422108128,5.49420661248608,22.076613627862,22.6066267719099,0.17437909850169,0.344748718510613,0.284792663594084,0.998231663347225,0.523317892708278,0.576044662077802,0.847112330671506,0.96513362452373
"Variable_14",0.134222856315418,0.204051940926994,0.0859223218120427,0.12933697412038,0.107320078765394,0.160801469739661,5.44426792547142,5.48500707519839,5.40079648146895,4.97474224000106,21.2143502167496,16.7427073017743,0.08346544061936,0.0710271710099284,0.0684620124654987,0.626373329471949,0.336085549762108,0.54797818439404,0.0210747039856352,0.337195263770163
"Variable_15",0.278209044919833,0.0211321332245022,0.965218853285054,0.08445272249498,0.240805425641036,0.00252540666646298,4.25778052996339,4.29453599848791,4.27195204128344,23.3572396372493,0.526419045453128,20.218764515175,0.0579326621687753,0.105313546070892,0.00786028633737413,0.891301806403732,0.0986166217143437,0.993710502923207,0.230248991741044,0.52465272815753
"Variable_16",0.868839001901445,0.11761081389109,0.296758761331816,0.00964951684057266,0.141770624717676,0.0831156937012473,-1.35314984755872,-1.2903058829488,-0.962242023922797,20.7957754590694,9.18336247089201,19.0269031185058,0.307014716729802,0.705076419417665,0.402680426424791,0.998231663347225,0.241637867521903,0.72254307106877,0.593950445236909,0.770280415852049
"Variable_17",0.433608025432864,0.00293388916716728,0.0885175395631735,0.0559994911550305,0.34066956766872,0.159015852299413,0.974145690063873,1.01365936055901,0.741834953172026,9.14004738067931,8.18763158322471,2.93077353180274,0.509973155520846,0.958433086134142,0.58798596680026,0.994799583401223,0.0365106207469705,0.54797818439404,0.141585302775045,0.52465272815753
"Variable_18",0.0849422368791691,0.242558895903395,0.790669855164908,0.156380787760207,0.0962290618878799,0.0166368233423961,0.602431188429881,1.45263021711391,1.86830676987745,23.8580724123631,21.9929717765688,17.3968751261321,0.739095347106731,0.477563445727874,0.11735954972109,0.50071213318247,0.372145155358633,0.990965631763412,0.248681048674551,0.525514668897165
"Variable_19",0.442693766056182,6.97988977553566e-05,0.151523821856108,0.0546484548736038,0.495185244884897,0.126097619089813,4.56950981600965,4.37102315473684,4.39660557491842,15.887859895248,19.5102662764345,13.0099613654031,0.107446203255821,0.253209160718377,0.0938333470662031,0.994799583401223,0.00195436913714999,0.606095287424434,0.118637773828548,0.52465272815753
"Variable_20",0.742041227436465,0.0349075085338586,0.986057144849863,0.020365655511414,0.213094147718657,0.00100242365323109,7.91894648913412,7.76998922052183,7.83872643331381,11.7589219561224,21.2708691119958,8.79418945137215,0.0985537742839114,0.243982537074969,0.0100851872419062,0.998231663347225,0.121806393845876,0.993710502923207,0.241237935693836,0.52465272815753
"Variable_21",0.556508731738634,0.00479635450704648,0.825736266471571,0.0396128431595776,0.317109917836134,0.0135840248818889,-3.85346896183866,-3.84526397839525,-4.01853871586966,19.6713403142789,8.53965762072336,9.47607041973889,1.09276911754908,2.28917552845347,0.325844008505726,0.998231663347225,0.0537191704789206,0.990965631763412,0.0687151058251846,0.482447656061035
"Variable_22",0.976063490072341,0.0148025792379693,0.957244734406312,0.00166947682790828,0.259866922376381,0.00311629064002299,6.4188438106202,6.52053194099573,6.71613282709089,19.9129539677428,22.8336207357586,5.93428710507258,0.0205894025619868,0.291060799250298,0.0164609742242493,0.998231663347225,0.0789470892691696,0.993710502923207,0.0640589810522058,0.482447656061035
"Variable_23",0.0147858911433404,0.608199381773011,0.413943762981288,0.252204949163882,0.0348946736851973,0.061058213228148,-1.31340888417379,-1.65769017328684,-1.89193073740509,22.899988708102,0.537596099095452,5.52694639938785,0.228180224135017,0.0728046723288421,0.0932864958896069,0.184002200894903,0.662434725202112,0.785791550066174,0.208287444416576,0.52465272815753
"Variable_24",0.800457219624385,0.347645054733616,0.588580367522685,0.0152325984064487,0.0726920053755661,0.0371523935378142,0.847681897289906,0.941223623399698,1.04928255854087,22.2783409909726,21.3974305114746,7.90223475744851,0.132714526889149,0.359582509550633,0.241304943617978,0.998231663347225,0.474832269880061,0.890824340034334,0.77159581034918,0.900195112074044
