Name	CC10.fastq	CC101.fastq	CC102.fastq	CC103.fastq	CC117.fastq	CC118.fastq	CC122.fastq	CC123.fastq	CC13.fastq	CC14.fastq	CC15.fastq	CC16.fastq	CC17.fastq	CC18.fastq	CC19.fastq	CC20.fastq	CC6.fastq	CC67.fastq	CC68.fastq	CC69.fastq	CC7.fastq	CC70.fastq	CC71.fastq	CC78.fastq	CC79.fastq	CC8.fastq	CC80.fastq	CC81.fastq	CC82.fastq	CC83.fastq	CC9.fastq
Species_4630	4	0	1	2	1	0	0	4	4	0	0	3	1	3	0	0	6	3	0	0	4	0	1	1	0	10	2	1	4	1	0
Species_4631	4	1	2	1	1	2	2	5	8	2	0	1	0	2	0	0	5	1	2	0	2	0	0	0	1	11	2	0	5	3	3
Species_4632	5	0	2	1	0	0	0	0	1	0	0	0	2	1	0	0	4	1	2	0	8	1	1	3	0	12	2	1	1	3	3
Species_4633	9	1	1	2	4	2	2	3	7	5	3	5	1	3	1	1	9	4	2	0	6	1	1	3	1	14	2	3	3	4	3
Species_4634	9	0	4	0	0	1	1	1	5	0	0	0	0	0	0	0	9	0	4	3	3	1	1	0	1	6	2	1	0	1	0
Species_4635	4	1	0	2	1	0	2	2	1	1	0	1	1	0	2	1	6	3	1	0	4	1	2	1	0	8	0	0	3	5	4
Species_4636	4	1	1	0	1	0	1	1	1	3	2	1	0	0	0	1	10	1	5	1	6	0	0	4	0	4	0	0	1	3	4
Species_4637	11	2	3	1	7	5	2	8	8	2	2	3	0	0	3	1	9	2	2	3	10	0	1	2	3	6	0	1	1	3	10
Species_4638	7	2	0	2	1	1	2	0	2	1	0	3	0	0	1	0	9	3	0	3	6	1	2	1	1	15	3	0	3	5	2
Species_4639	10	0	6	0	5	6	1	2	9	2	1	3	1	2	0	3	14	4	7	0	8	1	0	4	0	17	3	3	5	4	6
Species_4640	37	7	16	4	9	7	1	10	13	6	0	4	2	6	5	3	35	10	13	4	27	4	1	9	3	37	3	5	4	14	13
Species_4641	18	6	4	4	4	10	3	12	8	4	4	8	4	7	4	5	49	14	12	13	32	4	3	10	2	44	5	5	9	16	8
Species_4642	15	2	4	4	6	7	3	4	15	5	1	9	3	5	8	2	27	10	6	3	17	1	1	6	2	30	5	1	8	6	20
Species_4643	25	6	8	5	6	4	2	12	15	7	3	6	7	2	2	5	32	10	15	2	14	0	3	3	0	38	11	4	9	7	10
Species_4644	6	2	3	0	1	3	1	1	1	0	0	1	1	0	0	0	6	1	2	1	5	2	0	1	0	6	2	0	1	2	0
Species_4645	3	2	0	0	1	2	0	0	3	0	0	1	0	1	1	0	7	1	3	0	3	0	0	0	2	9	3	0	3	2	0
Species_4646	3	1	1	0	2	0	0	0	5	0	1	3	1	0	0	0	2	0	0	1	3	1	0	2	0	2	0	0	0	1	0
Species_4647	10	3	4	1	4	4	1	4	5	3	1	6	2	0	4	1	10	5	2	1	9	1	4	1	0	17	5	0	3	3	8
Species_4648	9	3	1	2	1	2	2	1	5	1	0	4	0	2	2	2	7	2	0	3	7	1	1	3	1	11	2	2	2	3	2
Species_4649	7	1	4	0	4	0	0	3	3	1	1	1	1	0	0	1	8	2	4	2	13	3	3	4	1	9	2	2	2	3	4
Species_4650	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	5	1	4	0	2	1	0	1	0	1	0	0	1	0	1
Species_4651	24	10	8	1	10	9	1	15	19	4	4	10	3	6	2	4	37	11	9	9	29	8	4	12	2	49	6	6	9	16	12
Species_4652	12	4	4	1	7	3	1	5	18	9	2	7	1	1	2	1	29	12	7	2	19	3	2	7	0	40	8	2	6	17	8
Species_4653	24	5	6	1	10	6	4	16	18	11	5	10	1	7	5	3	46	16	11	5	21	2	3	8	2	37	8	1	10	9	10
Species_4654	17	2	8	3	3	4	1	3	12	4	4	7	1	4	1	1	12	2	4	1	15	1	2	8	0	22	1	0	4	9	4
Species_4655	5	2	1	0	4	0	0	2	6	1	2	2	0	3	1	0	10	3	2	2	7	1	0	2	1	9	2	0	1	5	11
Species_4656	3	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1
Species_4657	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1
Species_4658	7	1	1	2	4	3	0	4	13	5	1	3	2	3	1	0	8	4	2	0	10	1	2	0	2	10	1	2	2	2	6
Species_4659	19	5	7	3	3	9	0	6	14	11	1	6	2	6	5	2	15	4	3	3	11	3	2	2	1	38	9	1	9	9	14
Species_4660	15	2	6	4	2	5	0	3	7	4	1	5	3	0	2	4	14	4	8	1	12	0	1	6	4	19	1	3	3	8	4
Species_4661	1	0	0	1	0	2	0	0	2	0	1	1	1	1	2	1	2	1	0	0	3	0	2	0	0	6	1	2	1	2	2
Species_4662	2	1	0	0	3	0	0	0	3	4	1	1	0	1	0	0	4	1	0	2	3	0	0	0	1	6	1	1	2	2	3
Species_4663	10	2	5	0	5	5	0	3	9	2	2	2	1	1	0	2	20	8	3	4	13	0	3	4	3	11	2	1	1	4	7
Species_4664	2	0	0	0	1	1	3	0	3	2	0	0	0	1	4	0	11	2	2	4	10	1	0	6	0	9	1	1	3	3	9
Species_4665	15	4	4	1	3	5	0	6	9	6	2	3	0	0	1	0	18	5	5	1	15	3	1	7	0	22	2	3	4	7	6
Species_4666	7	0	2	0	4	3	0	2	8	2	0	3	1	4	3	0	13	5	5	1	9	0	2	5	1	10	1	0	2	5	4
Species_4667	11	4	5	1	5	6	6	6	10	4	2	4	3	1	2	1	18	4	5	3	13	2	3	3	0	21	4	1	5	7	9
Species_4668	1	1	0	0	1	1	3	1	4	3	0	3	0	1	2	1	8	5	0	1	6	1	1	1	1	14	5	1	4	2	3
Species_4669	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
Species_4670	2	0	0	0	2	0	0	6	4	3	2	2	0	1	1	0	4	0	2	0	4	1	0	0	0	17	3	4	2	4	2
Species_4671	7	2	1	0	5	9	1	2	6	3	0	2	1	3	1	3	28	14	5	6	7	2	1	2	0	20	5	2	4	5	6
Species_4672	9	1	2	1	1	3	0	2	5	2	0	2	1	0	1	0	15	1	3	6	9	0	3	2	0	15	1	0	6	5	3
Species_4673	28	6	11	3	8	7	3	10	17	10	8	11	2	2	7	1	31	4	10	5	16	5	2	5	2	33	5	4	7	10	14
Species_4674	2	0	2	0	0	0	0	0	0	0	1	0	0	3	2	0	3	1	1	0	4	1	0	2	0	4	1	0	0	1	0
Species_4675	10	1	5	1	3	3	1	2	2	4	3	4	3	5	1	0	21	6	5	0	9	1	1	3	1	28	7	3	7	7	10
Species_4676	13	3	4	0	3	2	2	5	10	4	2	3	0	2	3	2	20	4	6	6	24	1	2	13	3	31	11	5	6	5	5
Species_4677	15	2	8	1	8	2	2	8	12	3	0	8	2	1	2	1	26	8	10	3	25	5	0	13	0	55	9	5	11	22	11
Species_4678	8	0	4	1	3	2	2	8	8	4	0	2	3	2	4	2	17	2	7	3	8	2	0	2	1	19	3	0	4	8	6
Species_4679	7	0	2	0	0	1	0	2	1	2	0	1	1	0	0	1	6	3	1	0	8	1	1	4	0	4	1	0	0	2	2
Species_4680	1	1	0	0	4	1	0	0	2	3	0	1	1	0	1	1	7	1	3	1	2	0	0	0	0	6	0	2	2	2	5
Species_4681	9	4	1	1	2	3	2	13	12	7	2	3	2	3	1	2	24	8	7	1	11	2	3	3	1	14	3	0	3	3	6
Species_4682	42	6	8	5	1	7	4	11	18	16	5	12	3	7	6	1	32	7	8	6	20	3	1	5	4	42	10	2	8	11	17
Species_4683	2	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	2
